name,link,num_nodes,num_edges,services,goals
Toyota Motor NA: Lake House Architecture for Data and Analytics,https://www.youtube.com/watch?v=Kp51k6LY-2c,8,16,"RedShift,Glue,EC2,UserCompanyAnalyst,Athena,S3,UserCompanyDataStream,RDS",data_ingestion
Zappos: Back Office Migration starring Amazon ECS and Amazon Aurora,https://www.youtube.com/watch?v=mZxF1IJEsaY,8,8,"AmazonMQ,DMS,ALB,Aurora,ECS,Route53",data_ingestion
PayGo: Leveraging Smart Meters to Help Customers Conserve Energy!,https://www.youtube.com/watch?v=_EPfIJnBCoM,6,5,"ThirdParty,EC2,ELB,UserConsumerMobile,S3",interactive
Accenture: Natural Language Processing and Graph Databases for the Oil and Gas Industry,https://www.youtube.com/watch?v=ekXdohpAy5U,6,9,"OpenSearch,Lambda,Neptune,Comprehend,SageMaker,UserCompanyDataStream",data_ingestion
St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,https://www.youtube.com/watch?v=LxeSC3-xMlk,8,15,"Lex,ThirdParty,DynamoDB,OpenSearch,Comprehend,UserConsumerMobile,SNS,UserConsumerAlexaGoogleHome",interactive
PureWeb: Building a Global 3D Streaming Platform For Limitless Experiences,https://www.youtube.com/watch?v=hrhBOOrR5v0,9,12,"Fargate,ElastiCache,EC2,UserConsumerWeb,ApiGateway,S3,Lambda",interactive
Korean Airline: Data Warehouse Modernization on AWS Korean,https://www.youtube.com/watch?v=YosezjoL4MU,12,11,"CodeBuild,CodePipeline,RedShift,Glue,EC2,CodeCommit,UserCompanyAnalyst,DMS,CloudFormation,Athena,S3,RDS",control
Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,https://www.youtube.com/watch?v=OQKOHNtyz3E,11,24,"Lex,ThirdParty,DynamoDB,DevTools,UserCompanyAgent,Connect,UserConsumerMobile,Lambda,UserCompanyDeveloper",interactive
ENGIE Digital: Using Spot Instances to Optimize Costs for Operations Platform for Energy Assets Fr,https://www.youtube.com/watch?v=c863uNkF0w4,10,8,"UserConsumerEdge,UserConsumerAPI,EC2,SystemsManager,CloudFormation,ApiGateway,S3,Kinesis,ECS",data_ingestion
Summit Technology Group: Building a Data Consumption Model for Multi-Tenant Applications,https://www.youtube.com/watch?v=-ahWdCysMYw,8,9,"ThirdParty,UserCompanyAnalyst,QuickSight,ControlTower,TransitGateway,VPN,Aurora,EKS",interactive
Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,https://www.youtube.com/watch?v=53sUjFv9ByI,6,6,"ThirdParty,FSX,EC2,ECR,UserCompanyDataStream,EKS",data_ingestion
STAX: AWS Automated Data Analytics,https://www.youtube.com/watch?v=HrYfdnPp6qs,10,9,"ThirdParty,Glue,CloudFront,UserCompanyAnalyst,Comprehend,Athena,S3,Cognito",data_ingestion
Heimdall Data: Query Caching Without Code Changes,https://www.youtube.com/watch?v=OWLGK-eVrTw,6,16,"ThirdParty,UserConsumerAPI,ElastiCache,NLB,Lambda,RDS",interactive
GumGum Verity: Low Latency Contextual Analysis and Data Privacy at Scale on AWS Outposts,https://www.youtube.com/watch?v=5QbKp0LQaZo,10,16,"DynamoDB,ElastiCache,Outpost,ALB,UserConsumerWeb,ApiGateway,ECS,EKS",compute_intensive
Graham Media Group: Modernizing Traditional Broadcasting with AWS,https://www.youtube.com/watch?v=D6rG9eZ5Qus,9,9,"ThirdParty,CloudFront,MediaStore,Transcribe,MediaLive,S3,UserCompanyDataStream,MediaPackage,Rekognition",interactive
Versent: The Migration Factory,https://www.youtube.com/watch?v=-wLEkq21cvA,9,10,"ThirdParty,DynamoDB,EC2,AppDiscovery,UserCompanyAgent",control
Majid Al Futtaim: Building a Custom Data Management Solution on AWS,https://www.youtube.com/watch?v=9qTEHITVeLE,9,14,"MSK,ThirdParty,EMR,UserConsumerWeb,S3,EKS,RDS","data_ingestion,interactive"
Salary Overflow: Bringing Transparency to Tech Salaries,https://www.youtube.com/watch?v=Xi6tDqctLsY,8,16,"CloudFront,Lambda,Pinpoint,UserConsumerWeb,Aurora,S3,AppSync,Cognito",interactive
Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,https://www.youtube.com/watch?v=Wur1GWB03hk,9,14,"DynamoDB,UserConsumerMobile,S3,Lambda,AlexaForBusiness,RDS",interactive
Salesforce: Automating SaaS Application Connectivity,https://www.youtube.com/watch?v=Cw26CrJUqv8,10,9,"ThirdParty,DynamoDB,PrivateLink,TransitGateway,UserConsumerWeb,ApiGateway,Lambda,EKS,SNS",other
AWS Solutions: Media Analysis,https://www.youtube.com/watch?v=uQFtb0iMC_s,8,9,"StepFunctions,OpenSearch,Transcribe,Comprehend,MediaConvert,S3,Lambda,Rekognition",data_ingestion
Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm,https://www.youtube.com/watch?v=asZIXK7V-U4,10,16,"StepFunctions,Athena,UserConsumerWeb,ApiGateway,SageMaker,EventBridge,Lambda,S3",data_ingestion
Klap: How to Build a Video Clipping Pipeline in Serverless (French),https://www.youtube.com/watch?v=lTSZT10JMQA,10,21,"StepFunctions,EC2,Lambda,S3,UserCompanyDataStream,ECS,UserConsumerTV",compute_intensive
Benevity: Centralized Logging for Multiple Compute Classes Using OpenSearch,https://www.youtube.com/watch?v=pk5yddJpC_8,9,10,"Fargate,ThirdParty,EC2,OpenSearch,Lambda,UserCompanyDeveloper",data_ingestion
Liberty Mutual: Moving Towards RealTime Financial Closing Using AWS,https://www.youtube.com/watch?v=gD8pzUnXgsU,6,4,"ThirdParty,OnPremDC,CloudFormation,S3,CloudWatch",data_ingestion
Clumio: Enterprise Backup as a Service with an AlwaysOn Security Model,https://www.youtube.com/watch?v=Ozbv9qBsDG8,11,17,"ThirdParty,IAM,KMS,EBS,SQS,S3,EventBridge,Lambda",other
Enoptea: PHP Layer for AWS Lambda French,https://www.youtube.com/watch?v=vb-o1DvvHxk,10,11,"ElastiCache,ELB,BeanStalk,SQS,ApiGateway,S3,Lambda,RDS,UserCompanyDataStream","data_ingestion,interactive"
Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,https://www.youtube.com/watch?v=-kA0ahrhX3I,9,8,"ThirdParty,Glue,QuickSight,Macie,Athena,S3,UserCompanyDeveloper",data_ingestion
Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,https://www.youtube.com/watch?v=H_S7CxtHgSM,11,12,"StepFunctions,ThirdParty,UserCompanyAgent,KMS,EBS,S3,Lambda,SNS",other
Seera Group: Transforming Online Travel Booking with Microservices (Arabic),https://www.youtube.com/watch?v=7wBOFcP1HwA,10,10,"ThirdParty,CloudFront,ELB,CloudWatch,UserConsumerWeb,S3,Lambda,EKS,RDS",interactive
SBB Cargo: Data Collection and Processing with Serverless Analytics Services,https://www.youtube.com/watch?v=4-teOQ_dJvY,9,13,"DynamoDB,UserCompanyAPI,ApiGateway,KinesisAnalytics,Lambda,Kinesis,UserCompanyEdge",data_ingestion
Appway: Securing Sensitive Banking Workflows with Isolated Architecture on AWS,https://www.youtube.com/watch?v=2f_NYiPJQt4,10,9,"Organizations,EC2,S2SVPN,ControlTower,ALB,ApiGateway,S3,EFS,Lambda,Cognito",control
Levels Beyond: Digital Content Orchestration,https://www.youtube.com/watch?v=07lfvavMdfU,10,14,"StepFunctions,DynamoDB,EC2,Transcribe,Comprehend,UserConsumerWeb,MediaConvert,S3,EKS,Rekognition",data_ingestion
