name,link,stores
Healthdirect Australia: Using AWS to Connect People with Healthcare,https://www.youtube.com/watch?v=dy-drIboyNA,"OpenSearch,Kinesis,DynamoDB,S3"
Ânima Educação: Digitizing Student Experience for Colleges in Brazil,https://www.youtube.com/watch?v=9yziTe6lBwk,"ElastiCache,RedShift,S3,RDS"
Alert Logic: Scaling Storage and Delivery of Petabytes of Search Data,https://www.youtube.com/watch?v=PoYiSKUy8sE,"Kinesis,DynamoDB,S3"
DBS Bank: Scalable Serverless Compute Grid on AWS,https://www.youtube.com/watch?v=T048vs9p1h4,"OpenSearch,DynamoDB,S3,EFS"
GSR: A Crypto Market Maker and Ecosystem Partner,https://www.youtube.com/watch?v=U1P8vZTEB-k,"ElastiCache,Aurora,S3,EFS"
Fresenius Medical Care: Enabling Patient Care Solutions with Near Real-Time Data-Driven Insights,https://www.youtube.com/watch?v=wtl7CrSQnHA,"OpenSearch,Kinesis,S3"
WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,https://www.youtube.com/watch?v=CE03UMddoYU,"Aurora,ElastiCache,DynamoDB"
Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,https://www.youtube.com/watch?v=M_hqigB9C4I,"RedShift,Aurora,S3"
Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,https://www.youtube.com/watch?v=Eoq7E6jMtBs,"Kinesis,DynamoDB,Aurora,S3"
Veolia: Serverless Solution for Cost Optimization on AWS (French),https://www.youtube.com/watch?v=YlGUMhls9ZA,"DynamoDB,RDS,S3"
"Rappi: Leveraging EKS, DocumentDB, RDS and ElastiCache to Quickly Scale Kubernetes Clusters",https://www.youtube.com/watch?v=i4ueYgjVDCw,"MSK,ElastiCache,RDS"
Zulily: A Compelling Suggestive Search Experience Using Amazon DocumentDB with MongoDB Compatibility,https://www.youtube.com/watch?v=Ccutfm_Srzw,"KinesisDataStream,Kinesis,ElastiCache,DocumentDB"
Noventiq: Harnessing Search and Analytics with Event-Driven Architecture on Amazon OpenSearch,https://www.youtube.com/watch?v=JYeXbUdFOdw,"OpenSearch,RDS,S3"
Buzzvil: Segment Processing and Provision for Ad Recommendation Korean,https://www.youtube.com/watch?v=hFx0EF9KEZU,"DynamoDB,RDS,S3"
Halter:Building the Future of Farming with IoT Enabled Livestock and Pasture Management,https://www.youtube.com/watch?v=j-lPgPGBTwQ,"KinesisDataStream,KinesisAnalytics,S3"
LG Electronics  ThinQ: Data Lake Storage for Connected Devices,https://www.youtube.com/watch?v=oEmuI32GYww,"DynamoDB,RDS,S3"
eCloudvalley: Build Up An EnterpriseLevel IoT Platform In One Minute Mandarin,https://www.youtube.com/watch?v=l0hlxVNmJPI,"DynamoDB,RDS,S3"
TownSq: Providing Performance Insights to Community Managers,https://www.youtube.com/watch?v=E8BGpIxzYc4,"QuickSight,Aurora,S3"
The Orchard: How the 'Kafka Data Highway' Boosts Developer Productivity & Enables Business Processes,https://www.youtube.com/watch?v=ItpY_KKR94k,"OpenSearch,MSK,S3"
Hi Res Cam: High Performance Object Detection with AWS Lambda Rekognition  TensorFlow German,https://www.youtube.com/watch?v=chQ1phTqvnY,"DynamoDB,RDS,S3"
